
2021년 12월 14일 20시 56분 17초   =>  코인시스탬 매수 | 아이디 : JCS10017 | 코인종류 : DOGE | 체결가격 : 265.2원 | 체결금액 : 99999원 | 체결수량 : 377.073906
2021년 12월 14일 20시 56분 17초   =>  코인시스탬 매도 | 아이디 : JCS10017 | 코인종류 : DOGE | 체결가격 : 266.5원 | 체결금액 : 9999원 | 체결수량 : 37.523452
2021년 12월 14일 20시 59분 59초   =>  코인시스탬 매수 | 아이디 : JCS10018 | 코인종류 : DOGE | 체결가격 : 263원 | 체결금액 : 999999원 | 체결수량 : 3802.281368
2021년 12월 14일 20시 59분 59초   =>  코인시스탬 매도 | 아이디 : JCS10018 | 코인종류 : DOGE | 체결가격 : 264.9원 | 체결금액 : 99999원 | 체결수량 : 377.500943
2021년 12월 14일 21시 2분 15초   =>  코인시스탬 매수 | 아이디 : JCS10019 | 코인종류 : DOGE | 체결가격 : 257.8원 | 체결금액 : 999999원 | 체결수량 : 3878.97595
2021년 12월 14일 21시 2분 15초   =>  코인시스탬 매도 | 아이디 : JCS10019 | 코인종류 : DOGE | 체결가격 : 258.4원 | 체결금액 : 999999원 | 체결수량 : 3869.96904
2021년 12월 14일 21시 5분 44초   =>  코인시스탬 매수 | 아이디 : JCS10020 | 코인종류 : DOGE | 체결가격 : 265.2원 | 체결금액 : 99999원 | 체결수량 : 377.073906
2021년 12월 14일 21시 5분 44초   =>  코인시스탬 매도 | 아이디 : JCS10020 | 코인종류 : DOGE | 체결가격 : 265.3원 | 체결금액 : 9999원 | 체결수량 : 37.693177
2021년 12월 14일 21시 5분 44초   =>  코인시스탬 매수 | 아이디 : JCS10000 | 코인종류 : DOGE | 체결가격 : 261.2원 | 체결금액 : 4999999원 | 체결수량 : 19142.419601
2021년 12월 14일 21시 5분 44초   =>  코인시스탬 매수 | 아이디 : JCS10002 | 코인종류 : ETH | 체결가격 : 4791000원 | 체결금액 : 9999995원 | 체결수량 : 2.087246
2021년 12월 14일 21시 5분 44초   =>  코인시스탬 매수 | 아이디 : JCS10000 | 코인종류 : DOGE | 체결가격 : 258.4원 | 체결금액 : 4999999원 | 체결수량 : 19349.845201
2021년 12월 14일 21시 22분 44초   =>  코인시스탬 매도 | 아이디 : JCS10000 | 코인종류 : DOGE | 체결가격 : 262원 | 체결금액 : 9999999원 | 체결수량 : 38167.938931
2021년 12월 14일 21시 24분 54초   =>  코인시스탬 매수 | 아이디 : JCS10000 | 코인종류 : DOGE | 체결가격 : 262.9원 | 체결금액 : 999999원 | 체결수량 : 3803.727653
2021년 12월 14일 21시 24분 54초   =>  코인시스탬 매수 | 아이디 : JCS10000 | 코인종류 : DOGE | 체결가격 : 264.5원 | 체결금액 : 8999999원 | 체결수량 : 34026.465028
2021년 12월 14일 21시 24분 54초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : XRP | 체결가격 : 1015원 | 체결금액 : 99999원 | 체결수량 : 98.522167
2021년 12월 14일 21시 24분 54초   =>  코인시스탬 매도 | 아이디 : JCS1 | 코인종류 : XRP | 체결가격 : 1015원 | 체결금액 : 9999원 | 체결수량 : 9.852216
